objid,l,b,g,r,i,psfMagErr_g,psfMagErr_r,psfMagErr_i
1237662530601287958,357.700231162276,69.2822887166097,20.6255,19.60699,18.5237,0.03388871,0.03711019,0.02058258
1237662530601287983,357.851923284001,69.2510300709444,22.51553,22.07847,21.81206,0.1275839,0.1133444,0.1537773
1237662530601288064,357.656803738162,69.2464702751589,21.16487,21.0956,21.26561,0.04642414,0.08479436,0.1621546
1237662530601288066,357.866397569824,69.2979964673377,21.97636,21.83854,21.78811,0.07856563,0.08942785,0.1425747
1237662530601288068,357.822852819056,69.286484269123,21.42045,20.94628,20.64416,0.05671744,0.05359707,0.06658885
1237662530601288078,357.864702491509,69.2809194171244,20.37077,20.10942,20.05661,0.03050487,0.03162452,0.03657399
1237662530601288339,357.739138442848,69.2994086249142,22.41483,21.54491,21.09157,0.1138663,0.07242882,0.07886793
1237662530601288354,357.745536044906,69.2995181531466,21.76838,20.72039,20.12246,0.06786814,0.04081459,0.0378955
1237662530601288395,357.837389176674,69.306054380634,22.17646,21.98281,21.79125,0.09255385,0.1001996,0.1425921
1237662530601288405,357.608061307633,69.2472571988377,23.64823,22.98651,22.12588,0.3236666,0.2372309,0.1954277
1237662530601288409,357.851884717938,69.3063584871951,22.11621,21.77808,21.77913,0.08801701,0.08506103,0.1412204
1237662530601288410,357.749594509886,69.2801755495412,22.2772,21.77906,21.67044,0.1008913,0.08389263,0.1280364
1237662530601288411,357.875393548677,69.310918886594,20.87646,20.32055,20.12373,0.03781492,0.03415017,0.0380533
1237662530601288416,357.866903476865,69.308295654968,21.54117,21.37697,21.30253,0.05684353,0.06272305,0.09382657
1237662530601288490,357.884969698833,69.284513432362,22.99082,22.1591,22.38,0.1804067,0.1165434,0.237968
1237662530601288492,357.603826585462,69.2133441691216,21.52254,20.8919,20.72598,0.05533771,0.04375713,0.05740182
1237662530601288503,357.776561982194,69.252317470551,22.98128,22.65376,22.36502,0.1799515,0.1735359,0.2338217
1237662530601288505,357.871212320793,69.2751088089116,20.85443,20.02114,19.76395,0.03777057,0.03116136,0.03163132
